Filtre 2 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 2.292286864140683
Filtre 2 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.7900914799796452
Filtre 3 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.708159150482323
Filtre 3 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.981512211926407
Filtre 3 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.6879136402588943
Filtre 3 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.7049324124538372
Filtre 3 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.9798814235407745
Filtre 3 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.686230002671711
Filtre 3 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.7044755457306808
Filtre 3 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.9795332380257915
Filtre 3 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.6853606312583123
Filtre 3 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.6245127987651717
Filtre 3 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.9015052540747905
Filtre 3 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.6068955976924342
Filtre 3 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.6331140424538517
Filtre 3 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.9057308797591361
Filtre 3 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.6121047937727655
Filtre 3 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.6236951070123613
Filtre 3 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.900994931114186
Filtre 3 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.6042771345253433
Filtre 4 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.7834452618322063
Filtre 4 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 2.3167242811187605
Filtre 4 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.7611255256410003
Filtre 4 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.8073300449404885
Filtre 4 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 2.337412363010199
Filtre 4 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.7832014389747939
Filtre 4 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.7826961882945567
Filtre 4 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 2.3147183628690335
Filtre 4 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures0, Erreur absolue moyenne (Random Forest) pour le scaler RobustScaler : 1.7599566225779513
Filtre 4 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.6467560044918588
Filtre 4 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 2.1951093405413524
Filtre 4 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler StandardScaler : 1.6356632281090122
Filtre 4 , et parametre {'n_estimators': 1000, 'max_depth': None, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.6648121164737653
Filtre 4 , et parametre {'n_estimators': 500, 'max_depth': 10, 'min_samples_split': 5},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 2.215628313947222
Filtre 4 , et parametre {'n_estimators': 2000, 'max_depth': 20, 'min_samples_split': 2},addfeatures1, Erreur absolue moyenne (Random Forest) pour le scaler PowerTransformer : 1.6556620783054143
