Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 7.520205768110061
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.749785828428496
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 5.763961206880744
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 6.8105742955938045
Filtre 1, Paramètre {'C': 1000.0, 'epsilon': 0.2, 'kernel': 'poly'}, AddFeatures 0, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 7.377893624756845
Filtre 1, Paramètre {'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.075184049111735
Filtre 1, Paramètre {'C': 0.5, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.058922368043927
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 3.997749942396992
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.032766728287931
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.028809256547446
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.2, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.322551186099861
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 6.46833112860411
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 7.121622568083493
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 7.20387881662693
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.238059352338063
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 4.727565013603653
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 6.295473270672207
Filtre 1, Paramètre {'C': 1000.0, 'epsilon': 0.2, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler StandardScaler : 9.449285363975099
Filtre 1, Paramètre {'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.076342877161457
Filtre 1, Paramètre {'C': 0.5, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.005343878357505
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 3.9864623394114207
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.044877791446492
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.042107778238993
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.2, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.30422196518106
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 6.652066515434839
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 6.617971903228129
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 6.590012754938043
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.118278170399751
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.23830587040874
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.494635943968223
Filtre 1, Paramètre {'C': 1000.0, 'epsilon': 0.2, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.401822646687615
Filtre 1, Paramètre {'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.074254749488185
Filtre 1, Paramètre {'C': 0.5, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.0740737022337505
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.02410112754897
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.051759485874856
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.051696340799274
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.2, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.32692040546773
Filtre 1, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 6.525758842015373
Filtre 1, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 7.168359729929986
Filtre 1, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 7.077702829809788
